joint,amplitude_deg,trials,mean_abs_proj_px,mean_abs_rotation_deg,mean_abs_actual_deg,plus_minus_diff,passes,notes
J1,0.01,4,0.58115,,0.009976,0.55523,0,轴向/面内比值（取上限）最大 7.5811，上限 0.5；pretest-J1-a0p01-d+1-r01-move-to：深度 0.0734 mm，面内 0.3323 mm；pretest-J1-a0p01-d+1-r02-move-to：深度变化低于可分辨下限（0.1544 mm），无法判断实际深度，只能给上限 0.1544 mm；pretest-J1-a0p01-d-1-r01-move-to：深度变化低于可分辨下限（0.1304 mm），无法判断实际深度，只能给上限 0.1304 mm；pretest-J1-a0p01-d-1-r02-move-to：深度变化低于可分辨下限（0.0708 mm），无法判断实际深度，只能给上限 0.0708 mm；视觉信号 0.5811，静态噪声 0.5330，比值 1.09；重复间最大差 1.7175；符号正确率 75%；RTDE 最小响应比 0.997
J1,0.05,4,1.85216,,0.04998,0.28179,0,轴向/面内比值（取上限）最大 0.6811，上限 0.5；pretest-J1-a0p05-d+1-r01-move-to：深度变化低于可分辨下限（0.0902 mm），无法判断实际深度，只能给上限 0.0902 mm；pretest-J1-a0p05-d+1-r02-move-to：深度 0.1319 mm，面内 0.4262 mm；pretest-J1-a0p05-d-1-r01-move-to：深度 0.0675 mm，面内 0.7167 mm；pretest-J1-a0p05-d-1-r02-move-to：深度变化低于可分辨下限（0.1293 mm），无法判断实际深度，只能给上限 0.1293 mm；视觉信号 1.8522，静态噪声 0.5330，比值 3.47；重复间最大差 0.9435；符号正确率 100%；RTDE 最小响应比 0.999
J1,0.2,4,7.9287,,0.199979,0.29683,1,轴向/面内比值（取上限）最大 0.0954，上限 0.5；pretest-J1-a0p2-d+1-r01-move-to：深度变化低于可分辨下限（0.0929 mm），无法判断实际深度，只能给上限 0.0929 mm；pretest-J1-a0p2-d+1-r02-move-to：深度 0.1126 mm，面内 1.4613 mm；pretest-J1-a0p2-d-1-r01-move-to：深度变化低于可分辨下限（0.1257 mm），无法判断实际深度，只能给上限 0.1257 mm；pretest-J1-a0p2-d-1-r02-move-to：深度变化低于可分辨下限（0.1019 mm），无法判断实际深度，只能给上限 0.1019 mm；视觉信号 7.9287，静态噪声 0.5330，比值 14.88；重复间最大差 0.4778；符号正确率 100%；RTDE 最小响应比 1.000
