joint,direction_deg,source,note,plus_unit,minus_unit,separation_deg
J1,5.960207645151337,measured_0.2deg,由 0.2° 档正负两组位移分别标定，正负夹角 172.1°（越接近 180° 越可信）；理论预测 -0.0°。,"[0.9945942513263147, 0.10383773509012768]","[-0.9994249100326601, 0.03390942650959044]",172.09655280333288
J2,-114.54601073836793,theoretical,没有可用位移，退用理论方向。基于现场摆放提示（水平、约 675 mm、方位角约 33.3°）的粗略方向预测，不是相机标定结果；只在判断“方向是否大致符合理论”时作参考。,,,
J3,91.86322339674683,theoretical,没有可用位移，退用理论方向。基于现场摆放提示（水平、约 675 mm、方位角约 33.3°）的粗略方向预测，不是相机标定结果；只在判断“方向是否大致符合理论”时作参考。,,,
J4,95.2343925967818,theoretical,没有可用位移，退用理论方向。基于现场摆放提示（水平、约 675 mm、方位角约 33.3°）的粗略方向预测，不是相机标定结果；只在判断“方向是否大致符合理论”时作参考。,,,
J5,-135.65929714671458,theoretical,没有可用位移，退用理论方向。基于现场摆放提示（水平、约 675 mm、方位角约 33.3°）的粗略方向预测，不是相机标定结果；只在判断“方向是否大致符合理论”时作参考。,,,
J6,0.0,theoretical,没有可用位移，退用理论方向。该关节在此姿态下对画面中心几乎不产生面内位移（预测方向无意义）,,,
